EAN,Merk,Product,Categorie,Volume,Aantal,Inkoopprijs,Minimaal,Maximaal,Winkelprijs,Winstlaag,Winsthoog,SKU,Notities
3605520840326,Armani,Onde Myst�re,EDP,100 ml,0,40,109.95,174.95,-46.32644628,32.7285124,ARM5282,,undefined
3605520838644,Armani,Onde Vertige,EDP,100 ml,0,40,109.95,174.95,-46.32644628,32.7285124,ARM5283,,undefined
3605520838583,Armani,Onde Vertige,EDP,50 ml,0,30,64.5,139.95,-36.32644628,10.04958678,ARM5284,,undefined
3605521852175,Armani,Priv� Myrrhe,EDP,100 ml,2,129,-135.3,-135.3264463,,undefined,undefined,undefined,undefined
3614272798694,Armani,Priv� Vetive,EDT,100 ml,3,59,-65.32,-65.32644628,,undefined,undefined,undefined,undefined
3614272798694,Armani,Priv� Vetive,EDT,100 ml,2,58,-64.32,-64.32644628,,undefined,undefined,undefined,undefined
3605520262517,Armani,Remix for He,EDP,100 ml,0,34,69.95,79.95,-40.32644628,9.968181818,ARM5285,,undefined
3605520262449,Armani,Remix for He,EDP,30 ml,0,19,42.5,52.95,-25.32644628,5.231404959,ARM5286,,undefined
3605520262388,Armani,Remix for Hi,EDT,100 ml,0,34,63.5,79.95,-40.32644628,5.330578512,ARM5287,,undefined
3605520262319,Armani,Remix for Hi,EDT,30 ml,0,19,41.95,52.95,-25.32644628,4.835950413,ARM5288,,undefined
3360372061809,Armani,She/Elle,EDP,100 ml,0,42,67.95,69.95,104.95,0.530165289,1.968181818,ARM5289,Bol.com �56
3360372061786,Armani,She/Elle,EDP,30 ml,0,21.5,39.5,66.3,-27.82644628,0.574380165,ARM5298,,undefined
3360372061793,Armani,She/Elle,EDP,50 ml,0,28.5,51.95,54.95,89.95,2.526033058,4.683057851,ARM5338,
732033157,Armani,Si,BL,75 ml,6,4.82,-11.14,-11.14644628,,undefined,undefined,undefined,undefined
3605521816658,Armani,Si,EDP,100 ml,0,55,91.95,96.95,135.11,4.786363636,8.381404959,ARM5318,Parfumloods �94
3614270952654,Armani,Si,EDP,150 ml,0,65,104.95,114.95,165.26,4.133471074,11.32355372,ARM5328,
3605521816511,Armani,Si,EDP,30 ml,0,30,58.95,69.95,-36.32644628,6.059090909,ARM5291,,undefined
3605521816580,Armani,Si,EDP,50 ml,0,40,68.95,74.95,96.75,3.249173554,7.56322314,ARM5301,
3605522035423,Armani,Si,EDT,100 ml,0,42,74.95,79.95,120.73,5.56322314,9.158264463,ARM5344,
3614272508323,Armani,Si Fiori,EDP,100 ml,0,53,84.95,94.95,144.72,1.753305785,8.94338843,ARM5345,Parfumloods �88
3614272508224,Armani,Si Fiori,EDP,50 ml,0,30,79.95,101.87,-36.32644628,21.15826446,ARM5340,,undefined
